Speaker,Utterance,Code FBS,Code systems
B," almost like, you know, when you talk about an entertainment system,",R,1
B,"you're talking about visual. You know, watching movies,",F,2
B," playing games,",F,2
B,almost like they have with the current voice command.,F,2
C,[writing on paper] Alexa.,D,0
B,"Dish, Alexa, something like that.",S,2
B,"Seriously, where you can pick what you want.",Bs,2
B,"If you want to watch movies,",Be,2
B,"play games,",Be,2
B,do finance stuff.,F,2
B,"I mean, really, anything.",F,2
C,"But it is entertainment, right?",R,1
B,"You have so many different topics you could do, right? It's just not watching movies.",Be,2
A,"Yeah, I think, kind of, for me, though, if I was to say what just to brainstorm and try to project out to 2025, that all of those ",R,0
A,All of our technology increase is soon to be centered around ,S,2
C,"The phone? Right, yeah.",Bs,1
A,Which isn't really a phone anymore. It's a ,Bs,1
B,Computer.,S,1
A,"It's a personal computer that we all carry around, right?",Bs,2
A,"So I think, for me, the central part of this would be that I mean, the first idea that comes to me is that different members of the family",S,2
A,would be able to interact,F,2
A,through their phone.,S,2
C,[writing on paper],D,0
C,"Okay, there's phones. There's also VR, right? Virtual reality.",F,2
C,That's a big component that's coming online.,Bs,2
B,[writing on paper],D,0
A,"Yeah, yeah. We're seeing a lot of that around, too, yeah. [writing on paper]",D,0
C,"Now, it's a family thing.",R,2
B,Wireless. Everything's wireless.,F,2
C,"Yeah, it's got to be wireless. Yep.",Bs,2
C,"And then they can tie together, right?",F,1
C,"Just like gaming systems or anything else,",S,1
C,"it's got to be able to pull together, right? Connectivity.",Be,1
A,"Okay. Well, we're going to present our final on that. I guess you want to see our work on that, too? [writing on board]",D,0
C,"[reading documents] So we're trying to answer what the system would be,",S,1
C,how it works,Be,1
C,and interacts,Be,1
C,"with people,",S,1
C,what the personal assistant,R,1
C,and entertainment system,R,1
C,would provide.,Be,1
B,It could have settings on there,F,2
B,"for different family members,",S,2
B,"to know what age they are, you know, to know who's on there and what they're using.",F,2
B,"Mm-hmm. That's why I was thinking, if it's entertainment, what do you do now for entertainment?",Be,1
B,"You do the virtual reality,",Be,2
B,but you're playing a game or something.,Be,2
C,"Everything's got a screen right now, right?",S,3
B,Either on the computer,S,2
B,or a TV.,S,2
C,It's all visual.,Bs,2
B,Some kind of monitor or the virtual.,S,3
B,"But there's maybe a central device, like a what do you call it? PC module or motherboard, for example,",S,2
B,that you can select whether it goes,Be,2
B,to a phone,S,2
B,or a TV,S,2
B,or a virtual.,S,2
B,It can spider the technology,F,1
B,"out of a device, maybe.",S,1
B,"It depends on what you would pick, right, what you're trying to gain out of it.",Be,1
C,Being able to have multiple users seeing the same thing,Be,2
C,or interacting on the same ,Be,2
A,Yeah. So we're talking about interactive. [writing on board],D,0
B,"And it can beyond in the household, the unit. It probably could be ",F,1
B,#NAME?,S,2
C,"Yeah, if you're going the next step, with phones right now,",S,2
C,you've got earbuds,S,3
C,"that are wireless, right?",Bs,3
C,"Because you have two things. You've got visual input,",S,2
C,"you got audio input, right?",S,2
C,"You got to take the next step with audio input, you know?",Be,2
C,You've got these little things,S,3
C,sticking out,Bs,3
C,"of your ears, you know.",S,3
C,"Okay. What's the next step with audio, you know?",Be,2
C,"How can you get it smaller,",F,2
C,better?,F,2
A,[writing on board],D,0
A," Yeah, because the latest thing, as you've seen, everyone's",S,2
A,wearing,Bs,2
A,"headphones everywhere, right?",S,3
C,"Well, and there's the wireless ones",S,3
C,that they're just sticking out,Bs,3
C,"of their ears, right?",S,3
C,These little buds,S,3
C,sticking out.,Bs,3
A,"Yeah, so you probably have to provide for either of those.",Be,2
A," There seems to be, like, kind of a preference.",Bs,2
A,Some guys like big headphones.,S,3
A,Others have the earbuds.,S,3
B,"And that's because, again, their bodies, too, can't and I'm just mentioning this because there are certain people's ears, their ear canals and whatnot, like myself",S,3
B,", can't wear",Bs,2
B,the earbuds.,S,3
B,So they need the headphones.,S,3
B,So they can't just have one. So you'd have to have multiple means.,Be,2
B,So that's why I wear the ones,S,3
B,"over the ears,",S,3
B,"because, like, those ones",S,3
B,easily fall right out for me.,Bs,2
A,[writing on board],D,0
C,"What if they mold the inside of your ear, to the shape of your ear?",F,2
B,That could be a solution right there.,Bs,2
C,And then put it right in there.,S,3
C,And then it fits,Bs,3
C,"your ear, John.",S,3
B,"Yeah, see, I would like that. It's a good idea.",Bs,3
C,[writing on paper] How about a pre-molded ,D,0
B,For the user. ,S,2
B,[writing on paper],D,0
C,#NAME?,Be,3
A,Big ears.,S,3
C,That's an idea.,Bs,3
C,"What other concepts? Virtual reality, I mean, you can use your phone",S,2
C,right now for that. They already do that.,Bs,2
A,They clip the box on.,Bs,3
C,"Yeah. They clip it in, and they'd split",Bs,3
C,"the screen, right?",S,3
A,"Yeah. And I think, along those lines, I mean, you're starting to see the availability of things, like you can attend an NBA game.",Be,2
A,Watch the basketball game as if you're on the front row.,Be,2
A,So we probably have to account for that. That type of entertainment experience,R,2
A,is going to be preferred by some people.,Be,2
A,"If we leave that out, you're probably sunk.",Bs,2
C,Yeah. I think that's got to be an option. It's definitely coming.,Bs,2
B,"Here's thinking 2025,",R,0
B,"too, with, like, the field we're in, automotive, you know? What if that entertainment system",R,1
B,"can connect to your car, too, in the future?",F,2
B,So not only when you're in the minivan with the kids ,S,2
C,That's a good thought.,Bs,2
C,[writing on paper],D,0
B,You know. You connect,Be,1
B,it,S,1
B,to the same system in the car.,S,2
C,Yep. My phone,S,2
C,"already connects,",Bs,2
C,"but take it to the entertainment level, right?",Be,1
A,[writing on board],D,0
C,"Because the whole ""the screens in your car,""",S,3
C,"those are kind of almost the past, right? People don't use them.",Bs,3
C,They just use their phone.,S,2
C,Right? They don't even look,Be,2
C,at the screens anymore.,S,3
C,They're all doing their own thing. So ,Bs,2
A,"If you could you know, I don't know. I don't know if this might be going beyond the scope, but if you could come up with something",Be,1
A,that people could take,Be,2
A,in the car,S,2
A,"with them that right now, you're kind of like, my iPhone",S,2
A,works well,Bs,2
A,with my Honda,S,2
A,"and not so great with my Nissan, right?",S,2
C,[writing on paper],D,0
A,You're kind of limited by the vehicle's technology,S,2
A,of what you can do. ,Bs,2
B,If you can find some way to overcome that ,Be,2
B,That might be beyond the scope of what we're doing here.,Bs,2
B,"If you had like a PC module,",S,2
B,"you know, that has all this built into it,",S,2
B,and it plugged,Be,2
B,"into a cigarette lighter,",S,3
B,then you take it with you.,Be,2
B,"Because regardless of what car you have or vehicle,",S,2
B,you want to be able to put it,Be,2
B,in any vehicle,S,2
B,"and be able to communicate,",Be,2
B,"you know, the entertainment system.",R,1
C,Personal assistant.,R,1
A,[reading documents] So we need to figure out what the system looks like and ,S,1
A,"Yeah. So that I was kind of focused on the entertainment system, but this also includes personal assistant. So that is relevant.",Bs,1
A,Your personal assistant has got to be useful,Be,1
B,in your vehicle or wherever you are.,S,1
A,What would you use a personal assistant for? Let's just look at that.,Be,0
B,"Right now, people are using it primarily for how to get from point A to point B, how to communicate.",F,2
C,"Google Maps,",F,3
C," how to get directions, right? How to look up phone numbers, that kind of stuff. Maybe even ",S,2
C,If a personal assistant,Bs,1
B,"could analyze data, like it could analyze, ""I want to buy this thing, but I want it at the best price and I want it at "" you know. If it can go out ",F,2
C,"""Show me location.""",Be,2
B,"Analyze the different locations, is it going to be the best price on Amazon? ",F,2
B,"Is there a local brick and mortar that is cheaper and I can get it today and drive there, get it? If it could do that kind of analytics ",S,3
A,"But that's higher level. I mean, that  A: [writing on board] ",D,0
B,So this is entertainment.,R,1
C,Maybe not.,Be,1
C,If I ask Siri,S,2
C,and Alexa,S,2
C,"a question, half the time they don't even know how to respond.",Bs,3
B,B: So a personal assistant's. ,R,1
B,got to have a lot more access to high-level algorithms and ,Be,2
C,"If we're thinking '25, who knows?",R,2
C,"Web scraping kind of tools, right?",S,2
C,[writing on paper],D,0
C,That's a real personal assistance.,Bs,1
B,They're not smart enough.,Bs,1
B,"But that's what everyday people I mean, not engineers, but your typical soccer mom and stuff,",S,2
A,"that's what they're going to use it for, right? They're going to look it up on there for information.",Bs,2
A,So you were saying your personal assistant,S,1
A,to evaluate price.,Be,2
C,[writing on board],D,0
B,"Maybe a choice for purchasing. Yeah, like a purchase.",Be,2
C,I think this is more of a software piece,S,2
C,that goes into our device.,S,1
